PartNumber,PipeSize,PSize,Schedule,G,H,M,POD,PID,PThk,Approx. Wt.
413-005,"1/2""",DN15,40,1/2 in,1+1/4 in,1+3/32 in,0.84 in,0.602 in,0.109 in,0.06 lbs
413-007,"3/4""",DN20,40,9/16 in,1+9/16 in,1+5/16 in,1.05 in,0.804 in,0.113 in,0.10 lbs
413-010,"1""",DN25,40,13/16 in,1+7/8 in,1+5/8 in,1.315 in,1.029 in,0.133 in,0.17 lbs
413-015,"1-1/2""",DN40,40,1+1/32 in,2+11/32 in,2+1/4 in,1.9 in,1.59 in,0.145 in,0.32 lbs
413-020,"2""",DN50,40,1+5/16 in,2+5/8 in,2+3/4 in,2.375 in,2.047 in,0.154 in,0.47 lbs
F0123WE,"1/2""",DN15,40,0.4965 in,1.2475 in,1.075 in,0.844 in,0.602 in,0.109 in,0.060 lbs
F0343WE,"3/4""",DN20,40,0.6025 in,1.6035 in,1.2930 in,1.0620 in,0.804 in,0.113 in,0.119 lbs
F0013WE,"1""",DN25,40,0.7865 in,2.0375 in,1.595 in,1.321 in,1.029 in,0.133 in,0.175 lbs
F1143WE,"1-1/4""",DN32,40,0.8615 in,2.3675 in,1.9690 in,1.6600 in,1.36 in,0.14 in,0.275 lbs
F1123WE,"1-1/2""",DN40,40,0.9505 in,2.4485 in,2.2150 in,1.9000 in,1.59 in,0.145 in,0.363 lbs
F0023WE,"2""",DN50,40,1.3685 in,2.6805 in,2.7150 in,2.3770 in,2.047 in,0.154 in,0.406 lbs
